"continent","education_of_employee","has_job_experience","requires_job_training","no_of_employees","region_of_employment","prevailing_wage","unit_of_wage","full_time_position","company_age","y_train"
"Europe","Bachelor's","Y","Y",2481,"South",140681.23,"Year","Y",14,"0"
"Asia","High School","N","N",2259,"Midwest",114808.95,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",700,"Midwest",926.2305,"Hour","Y",32,"0"
"Asia","Master's","Y","N",1076,"West",33413.24,"Year","Y",13,"0"
"Europe","Doctorate","N","Y",723,"South",46083.89,"Year","Y",23,"0"
"Asia","Master's","Y","N",1814,"Northeast",31139.14,"Year","Y",24,"0"
"Asia","Bachelor's","N","Y",690,"Midwest",360.0767,"Hour","Y",13,"0"
"Asia","Master's","Y","N",3083,"Midwest",80224.21,"Year","Y",19,"0"
"Europe","High School","Y","N",3416,"South",73092.04,"Year","Y",23,"0"
"Asia","High School","Y","N",970,"Midwest",247009.24,"Year","Y",24,"0"
"Asia","Bachelor's","Y","N",80778,"Northeast",22476.18,"Year","Y",26,"0"
"Asia","Master's","Y","N",1284,"South",114283.42,"Year","Y",39,"0"
"Oceania","Master's","Y","Y",5854,"West",84824.1,"Year","Y",11,"0"
"South America","Master's","Y","Y",2139,"West",193048.67,"Year","Y",163,"0"
"Asia","Master's","Y","N",153,"Midwest",149406.36,"Year","N",13,"0"
"Oceania","High School","Y","N",2477,"West",73542.33,"Year","Y",14,"0"
"North America","Master's","Y","N",4703,"Northeast",11709.44,"Year","Y",23,"0"
"Europe","Bachelor's","Y","N",80,"West",59766.82,"Year","Y",21,"0"
"Asia","High School","Y","N",1329,"South",267726.09,"Year","Y",65,"0"
"Asia","Master's","Y","N",3688,"Northeast",96787.67,"Year","Y",19,"0"
"Asia","Master's","Y","N",15383,"West",82540.63,"Year","Y",20,"0"
"Asia","Bachelor's","Y","N",4135,"Northeast",42400.51,"Year","N",23,"0"
"North America","Bachelor's","Y","N",3761,"South",91132.02,"Year","Y",18,"0"
"Europe","Doctorate","Y","N",1002,"South",21151.27,"Year","Y",48,"0"
"Europe","High School","N","N",3788,"South",29163.33,"Year","Y",44,"0"
"Asia","Bachelor's","Y","N",4992,"Midwest",63156.03,"Year","Y",47,"0"
"Asia","Bachelor's","N","N",3115,"South",87250.5,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",2648,"Northeast",114878.69,"Year","Y",25,"0"
"Asia","Bachelor's","N","Y",32625,"Midwest",83893.82,"Year","Y",20,"0"
"Asia","Master's","N","N",2052,"Midwest",114862.82,"Year","Y",83,"0"
"Asia","Bachelor's","Y","N",28060,"West",89546.29,"Year","Y",146,"0"
"North America","High School","Y","N",804,"West",3226.58,"Year","Y",39,"0"
"Asia","Bachelor's","Y","N",498,"South",71434.38,"Year","Y",25,"0"
"Asia","Master's","Y","N",3690,"Midwest",68202.11,"Year","N",18,"0"
"Asia","Master's","N","N",789,"Midwest",167775.32,"Year","Y",49,"0"
"Asia","Bachelor's","Y","Y",239,"Midwest",28216.59,"Year","Y",25,"0"
"Europe","Master's","Y","N",1306,"West",36687.83,"Year","Y",18,"0"
"Europe","Doctorate","Y","N",198,"Northeast",88531.72,"Year","Y",77,"0"
"Asia","Bachelor's","Y","N",1481,"Midwest",178327.44,"Year","Y",19,"0"
"Asia","Bachelor's","Y","N",3518,"West",42739.8,"Year","Y",22,"0"
"Asia","Bachelor's","Y","N",3183,"Midwest",56822.13,"Year","N",45,"0"
"North America","Master's","Y","N",3275,"South",63590.3,"Year","Y",28,"0"
"Asia","Bachelor's","Y","N",2663,"Northeast",167509.74,"Year","N",139,"0"
"Asia","Master's","Y","N",2016,"South",45748.32,"Year","Y",24,"0"
"Asia","Bachelor's","Y","N",52,"Midwest",117643.88,"Year","Y",24,"0"
"Asia","Master's","Y","N",5303,"West",149794.75,"Year","Y",78,"0"
"South America","High School","N","N",248,"South",99254.94,"Year","Y",64,"0"
"Europe","Master's","N","N",1767,"South",132234,"Year","Y",35,"0"
"Asia","Bachelor's","N","N",3518,"South",127084.5,"Year","Y",151,"0"
"Asia","Master's","Y","N",2950,"Northeast",124974.58,"Year","N",156,"0"
"Europe","Bachelor's","Y","Y",1887,"South",107097.3,"Year","Y",16,"0"
"Asia","Master's","Y","N",2583,"Midwest",40209.75,"Year","N",17,"0"
"Asia","Bachelor's","Y","Y",2672,"West",107252.41,"Year","Y",127,"0"
"Asia","Bachelor's","Y","N",547,"Northeast",135059.99,"Year","Y",23,"0"
"Asia","Master's","Y","N",1193,"Northeast",222098.09,"Year","Y",27,"0"
"Asia","Master's","Y","N",2454,"South",280661.13,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",2952,"West",59555.7,"Year","Y",17,"0"
"Europe","Doctorate","Y","N",731,"West",29309.97,"Year","Y",19,"0"
"Asia","Doctorate","Y","N",5502,"Northeast",36947.26,"Year","Y",47,"0"
"Europe","Doctorate","Y","Y",3723,"West",50812.14,"Year","Y",26,"0"
"North America","Bachelor's","Y","N",1807,"Northeast",798.4,"Year","Y",15,"0"
"Asia","Master's","Y","N",3631,"West",38680.32,"Year","Y",22,"0"
"Asia","Doctorate","Y","N",120,"Northeast",22518.47,"Year","Y",156,"0"
"Asia","High School","Y","N",971,"Midwest",78350.26,"Year","Y",104,"0"
"Asia","High School","Y","N",1832,"South",853.5312,"Hour","Y",19,"0"
"Asia","Bachelor's","Y","N",895,"West",89232.98,"Year","Y",99,"0"
"Asia","Master's","Y","N",2415,"Northeast",68048.52,"Year","Y",34,"0"
"Asia","High School","Y","N",3490,"South",56520.43,"Month","Y",19,"0"
"Asia","Doctorate","Y","N",1822,"Northeast",2380.18,"Year","Y",20,"0"
"Asia","High School","Y","N",5223,"South",79263.12,"Year","Y",27,"0"
"North America","Bachelor's","Y","N",1928,"South",68634.99,"Year","Y",41,"0"
"North America","Bachelor's","Y","N",721,"Northeast",262852.71,"Year","Y",10,"0"
"Europe","Bachelor's","N","N",2171,"Midwest",92076.68,"Year","Y",26,"0"
"Asia","Master's","Y","N",4777,"Island",7713.07,"Year","Y",26,"0"
"North America","Master's","Y","N",429,"West",16376.64,"Year","Y",31,"0"
"Asia","Bachelor's","N","Y",2928,"South",44831.2,"Year","Y",67,"0"
"Asia","Bachelor's","Y","N",1581,"West",86380.35,"Year","Y",62,"0"
"Asia","Bachelor's","Y","N",1460,"South",28055.46,"Year","Y",26,"0"
"Asia","Master's","Y","N",2604,"South",36443.56,"Year","N",30,"0"
"Europe","Doctorate","Y","N",1505,"Northeast",28845.24,"Year","Y",19,"0"
"Asia","Master's","N","N",2577,"South",108672.2,"Year","Y",36,"0"
"Europe","Master's","Y","N",2793,"Northeast",85330.54,"Year","Y",26,"0"
"Asia","Bachelor's","N","N",1897,"South",44447.67,"Year","Y",27,"0"
"Asia","Master's","Y","N",4041,"West",56544.67,"Year","Y",18,"0"
"Asia","Bachelor's","Y","Y",746,"South",92211.18,"Year","Y",88,"0"
"South America","High School","Y","N",3205,"West",39933.25,"Year","Y",13,"0"
"Asia","Bachelor's","Y","N",320,"West",30218.37,"Year","Y",19,"0"
"Europe","High School","Y","N",1156,"South",30317.3,"Year","Y",16,"0"
"Asia","Master's","Y","N",2708,"Northeast",151206.86,"Year","Y",74,"0"
"Asia","High School","N","N",909,"Midwest",61219.41,"Year","Y",24,"0"
"Asia","Bachelor's","N","N",1808,"South",117602.02,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",1753,"Northeast",3542.11,"Year","Y",27,"0"
"Asia","High School","N","Y",3806,"Midwest",74494.92,"Year","Y",26,"0"
"Asia","Master's","Y","N",898,"South",23324.64,"Year","Y",28,"0"
"Africa","Bachelor's","Y","N",86610,"Northeast",50590.83,"Year","Y",34,"0"
"North America","Master's","N","N",1303,"Midwest",42608.2,"Year","Y",14,"0"
"Asia","Master's","Y","N",3060,"West",143589,"Year","N",27,"0"
"North America","High School","Y","N",732,"Midwest",102100.43,"Year","N",34,"0"
"Asia","Master's","Y","Y",15420,"South",120329.66,"Year","Y",132,"0"
"Asia","Bachelor's","Y","N",1999,"South",692.4637,"Hour","Y",24,"0"
"Asia","Bachelor's","Y","N",363,"Northeast",93593.48,"Year","Y",18,"0"
"Africa","Master's","Y","N",1854,"West",95547.28,"Year","Y",34,"0"
"Asia","Master's","Y","N",3591,"South",53735.72,"Year","Y",47,"0"
"Asia","Bachelor's","Y","N",1161,"Island",90701.89,"Year","Y",29,"0"
"Asia","Bachelor's","Y","N",1441,"West",55392.99,"Year","Y",12,"0"
"Asia","Bachelor's","Y","N",2332,"Northeast",124235.53,"Year","Y",23,"0"
"Europe","Bachelor's","Y","N",43,"South",43048.6,"Year","Y",44,"0"
"Asia","Master's","Y","N",1914,"Northeast",92007.44,"Year","Y",102,"0"
"North America","Master's","Y","N",526,"South",43300.57,"Year","Y",10,"0"
"Asia","Master's","Y","N",2688,"Northeast",15389.43,"Year","Y",48,"0"
"North America","Bachelor's","Y","N",2944,"South",52911.48,"Year","Y",16,"0"
"North America","Master's","Y","N",2943,"West",11852.24,"Year","Y",32,"0"
"North America","Doctorate","Y","N",1313,"South",106584.63,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",2707,"Northeast",76780.29,"Year","Y",34,"0"
"Asia","Master's","Y","N",6755,"South",30147.57,"Year","Y",171,"0"
"Asia","Bachelor's","Y","N",811,"Midwest",155515.14,"Year","Y",24,"0"
"North America","Master's","Y","N",4241,"South",195755.09,"Year","N",31,"0"
"Asia","Master's","Y","N",1248,"Midwest",37478.1,"Year","Y",66,"0"
"Asia","Doctorate","Y","N",5357,"Northeast",51828.96,"Year","Y",20,"0"
"Europe","Master's","Y","Y",4008,"South",63677.55,"Year","Y",37,"0"
"Asia","Bachelor's","Y","N",2929,"West",94583.87,"Year","Y",40,"0"
"Asia","Bachelor's","Y","N",3332,"Northeast",96729.26,"Year","Y",17,"0"
"North America","Master's","Y","N",2327,"Northeast",71716.87,"Year","Y",18,"0"
"Asia","Master's","Y","N",1341,"South",49402.34,"Year","N",18,"0"
"Asia","Bachelor's","Y","N",865,"Northeast",139580.05,"Year","Y",18,"0"
"Asia","Bachelor's","Y","N",436,"South",29001.48,"Year","Y",53,"0"
"Europe","Doctorate","Y","N",2732,"West",110020.68,"Year","Y",33,"0"
"Asia","Master's","Y","N",2466,"Midwest",56399.83,"Year","Y",11,"0"
"Asia","Master's","Y","N",3684,"West",64986.01,"Year","Y",40,"0"
"Asia","Master's","Y","N",1856,"Northeast",73853.33,"Year","Y",24,"0"
"Asia","Bachelor's","Y","N",3427,"Midwest",48452.57,"Year","Y",18,"0"
"Asia","Doctorate","Y","N",1337,"Northeast",40806.44,"Year","Y",19,"0"
"Asia","Doctorate","Y","N",3160,"Northeast",64255.14,"Year","Y",45,"0"
"Asia","Bachelor's","Y","N",6499,"West",152043.04,"Year","Y",24,"0"
"Europe","Bachelor's","Y","N",2943,"Midwest",3326.61,"Year","Y",27,"0"
"Asia","Bachelor's","Y","Y",12341,"Midwest",71086.82,"Year","Y",14,"0"
"Asia","Doctorate","Y","N",2560,"West",230916.64,"Year","Y",27,"0"
"Europe","Master's","N","Y",1367,"South",172744.86,"Year","Y",55,"0"
"Europe","Master's","Y","N",1229,"Northeast",22250.63,"Month","Y",94,"0"
"Asia","Master's","Y","N",2043,"South",94016.19,"Year","Y",18,"0"
"Europe","Doctorate","Y","N",2329,"West",78331.19,"Year","Y",102,"0"
"Asia","Bachelor's","Y","N",395,"Northeast",112679.02,"Year","Y",25,"0"
"Asia","Master's","Y","N",163,"Midwest",67552.19,"Year","N",169,"0"
"North America","Bachelor's","Y","N",1456,"South",1454.03,"Year","Y",141,"0"
"Asia","Master's","Y","N",885,"Northeast",776.9489,"Hour","Y",17,"0"
"Asia","Bachelor's","Y","N",3118,"South",40905.91,"Year","Y",88,"0"
"Asia","Master's","Y","N",2353,"Midwest",51866.51,"Year","Y",17,"0"
"Europe","Master's","N","Y",1236,"West",17940.61,"Year","Y",16,"0"
"Asia","Bachelor's","Y","N",483,"West",46853.24,"Year","Y",25,"0"
"Asia","Bachelor's","Y","N",1278,"West",76553.04,"Week","Y",100,"0"
"Asia","Master's","Y","N",16006,"Northeast",12661.71,"Week","Y",40,"0"
"Asia","Master's","Y","N",1999,"Northeast",264760.64,"Year","Y",53,"0"
"Asia","Bachelor's","Y","N",5266,"South",120669.76,"Year","Y",50,"0"
"Europe","Bachelor's","N","N",4798,"South",39063.66,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",1531,"South",571.9348,"Hour","Y",53,"0"
"North America","Master's","Y","N",75457,"West",739.7268,"Hour","Y",61,"0"
"Asia","Bachelor's","Y","N",3287,"South",137545.78,"Year","Y",44,"0"
"Asia","Master's","Y","N",5100,"South",19200.3,"Year","Y",19,"0"
"Asia","Master's","Y","N",230,"West",214629.56,"Year","N",136,"0"
"Oceania","Master's","Y","N",2315,"Midwest",60946.2,"Year","Y",16,"0"
"Europe","Master's","N","N",155,"Northeast",89305.6,"Year","Y",16,"0"
"Europe","Bachelor's","Y","Y",63,"South",50144.11,"Year","Y",176,"0"
"Asia","Master's","Y","N",2620,"Northeast",137581.41,"Year","N",44,"0"
"Asia","Master's","Y","N",487,"South",81999.94,"Year","Y",20,"0"
"Europe","Bachelor's","Y","N",2730,"South",28597.77,"Year","Y",19,"0"
"Asia","Master's","Y","Y",1236,"South",85624.24,"Year","Y",76,"0"
"Asia","Bachelor's","Y","N",3012,"Northeast",195260.95,"Year","Y",173,"0"
"Europe","Bachelor's","N","Y",1113,"South",15197.7,"Year","Y",70,"0"
"Asia","Doctorate","Y","N",2140,"South",87737.39,"Year","Y",66,"0"
"Europe","Master's","N","N",1721,"Northeast",82253.03,"Year","Y",39,"0"
"Europe","Doctorate","N","Y",314,"West",52854.69,"Year","Y",115,"0"
"Asia","Bachelor's","Y","N",1901,"Island",119563.24,"Year","Y",116,"0"
"Asia","Doctorate","Y","N",562,"Midwest",2469.59,"Year","Y",15,"0"
"Asia","Bachelor's","Y","N",5418,"West",15023.59,"Year","Y",25,"0"
"North America","Bachelor's","Y","N",484,"Midwest",116894.1,"Year","N",220,"0"
"Europe","Doctorate","Y","N",2575,"Northeast",21661.36,"Year","Y",78,"0"
"Asia","Bachelor's","Y","N",3317,"Midwest",105545.99,"Year","Y",23,"0"
"Asia","Bachelor's","Y","N",1628,"Northeast",100.66,"Hour","Y",24,"0"
"Asia","Master's","Y","N",4106,"Island",24386.05,"Year","Y",26,"0"
"Europe","Bachelor's","Y","N",80343,"South",89491.4,"Year","Y",22,"0"
"Europe","Bachelor's","N","N",111922,"West",107056.16,"Year","Y",46,"0"
"Europe","Doctorate","Y","N",107586,"Northeast",46924.36,"Year","Y",176,"0"
"Asia","Bachelor's","Y","N",2327,"South",115402.7,"Year","Y",39,"0"
"Europe","Master's","N","N",1506,"Northeast",106628.4,"Year","Y",50,"0"
"Asia","Master's","Y","N",1700,"West",3753.07,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",8699,"South",118313.22,"Year","Y",27,"0"
"Asia","Bachelor's","Y","N",801,"South",47953.87,"Year","Y",14,"0"
"Asia","Master's","Y","N",3202,"Midwest",91881.06,"Year","Y",19,"0"
"Asia","Master's","Y","Y",1165,"South",72873.61,"Year","Y",104,"0"
"Asia","Bachelor's","Y","N",3991,"South",54198.06,"Year","Y",15,"0"
"Asia","Master's","Y","N",2211,"West",114979.24,"Year","Y",21,"0"
"Europe","Master's","N","N",4463,"West",92313.87,"Year","Y",139,"0"
"Asia","Bachelor's","Y","N",1970,"Midwest",48773.33,"Year","Y",27,"0"
"Europe","Doctorate","N","Y",1018,"West",121205.78,"Year","Y",64,"0"
"Asia","Bachelor's","Y","N",93,"Northeast",49825.29,"Week","Y",46,"0"
"Asia","Master's","Y","N",1972,"South",289.8,"Year","Y",33,"0"
"North America","Master's","Y","N",3399,"Midwest",130671.23,"Year","N",21,"0"
"Asia","Bachelor's","Y","N",2399,"West",12586.73,"Year","Y",14,"0"
"Europe","Bachelor's","Y","N",3997,"West",43579.53,"Year","Y",112,"0"
"Asia","Master's","Y","N",184,"Northeast",90314.44,"Year","Y",19,"0"
"Europe","Master's","Y","N",996,"West",12661.08,"Year","Y",52,"0"
"Europe","Master's","Y","N",126451,"West",61891.31,"Year","Y",20,"0"
"Asia","Bachelor's","Y","N",3806,"West",79310.87,"Year","Y",17,"0"
"South America","High School","Y","Y",1948,"West",103762.31,"Year","Y",155,"0"
"North America","Master's","Y","N",2559,"Northeast",105257.67,"Year","Y",17,"0"
"Europe","Master's","N","N",2601,"West",291.2804,"Hour","Y",70,"0"
"South America","Master's","Y","N",131,"Northeast",5303.86,"Year","Y",53,"0"
"Asia","Master's","Y","N",-26,"Midwest",112799.46,"Year","Y",19,"0"
"Europe","Doctorate","N","N",2159,"West",23697.88,"Year","Y",23,"0"
"Asia","Bachelor's","Y","N",2445,"West",199424.63,"Year","N",20,"0"
"Europe","Doctorate","N","Y",2769,"West",1366.89,"Year","Y",43,"0"
"Asia","Bachelor's","Y","N",2280,"West",78636.21,"Year","Y",28,"0"
"Asia","Bachelor's","Y","Y",3236,"West",93149.96,"Year","Y",105,"0"
"Europe","Master's","N","N",1951,"West",123752,"Year","Y",24,"0"
"Asia","Bachelor's","Y","N",3360,"West",3293.05,"Year","Y",56,"0"
"Europe","Bachelor's","N","N",4516,"West",15892.69,"Year","Y",11,"0"
"Asia","Bachelor's","Y","N",964,"West",410.6198,"Hour","Y",56,"0"
"Europe","Master's","N","N",224,"West",7184.13,"Year","Y",21,"0"
"Europe","Doctorate","Y","N",61,"West",50563.78,"Year","Y",45,"0"
"Asia","Bachelor's","Y","N",2219,"West",48971.17,"Year","Y",27,"0"
"South America","Master's","Y","N",2970,"Midwest",165372.98,"Year","Y",22,"0"
"Asia","Bachelor's","Y","N",4227,"Northeast",107853.38,"Year","Y",27,"0"
"Asia","Master's","Y","N",102725,"Northeast",38747.85,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",3411,"West",28964.08,"Year","Y",14,"0"
"South America","Master's","Y","N",1149,"South",82516.16,"Year","Y",157,"0"
"Asia","Master's","Y","N",75,"Northeast",78606.65,"Year","Y",22,"0"
"Asia","Bachelor's","Y","N",1493,"West",103516.76,"Year","Y",24,"0"
"Asia","Master's","Y","N",6682,"West",70337.13,"Year","Y",12,"0"
"Europe","Bachelor's","N","Y",478,"West",52858.49,"Year","Y",23,"0"
"North America","Master's","Y","N",1998,"South",81156.73,"Year","N",34,"0"
"Asia","Doctorate","Y","N",3073,"Northeast",68956.29,"Year","Y",49,"0"
"Europe","Master's","N","N",4430,"West",73556.14,"Year","Y",39,"0"
"Asia","Bachelor's","Y","N",2690,"South",531.7683,"Hour","Y",13,"0"
"Europe","Bachelor's","N","N",1337,"West",52097.71,"Year","Y",10,"0"
"North America","High School","Y","N",1734,"South",120350.58,"Year","Y",38,"0"
"Asia","Bachelor's","Y","N",2618,"Northeast",108556.12,"Year","Y",22,"0"
"Asia","Bachelor's","Y","N",2217,"West",60875.21,"Year","Y",31,"0"
"Europe","Bachelor's","Y","N",1666,"West",42388.98,"Year","Y",27,"0"
"Europe","Doctorate","N","N",51569,"Northeast",8476.52,"Year","Y",25,"0"
"Asia","Bachelor's","Y","N",1327,"South",96022.42,"Year","Y",16,"0"
"Asia","Bachelor's","Y","N",2587,"West",44996.84,"Year","Y",22,"0"
"Asia","Bachelor's","Y","N",3115,"Northeast",57861.32,"Year","Y",43,"0"
"Asia","Bachelor's","Y","N",3244,"South",140268.39,"Year","Y",78,"0"
"Europe","Master's","Y","N",1151,"South",128983.07,"Year","Y",33,"0"
"North America","Master's","Y","N",5174,"West",16774.53,"Year","N",33,"0"
"Asia","Bachelor's","Y","N",30339,"South",134030.7,"Year","Y",18,"0"
"Europe","Master's","Y","N",3394,"Northeast",100470.66,"Year","Y",65,"0"
"Asia","Master's","Y","N",5463,"West",32393.39,"Year","Y",20,"0"
"Europe","Doctorate","Y","N",558,"West",37166.61,"Year","Y",31,"0"
"Asia","Bachelor's","Y","N",1615,"West",81338.31,"Year","Y",13,"0"
"Asia","Master's","Y","Y",2851,"West",42123.7,"Year","Y",20,"0"
"North America","Doctorate","Y","N",802,"West",109585.81,"Year","Y",24,"0"
"Africa","Master's","Y","N",3923,"Northeast",75739.52,"Year","Y",18,"0"
"North America","Master's","Y","N",361,"Midwest",68353.9,"Year","Y",19,"0"
"Europe","Master's","Y","N",2984,"West",38136.75,"Year","Y",30,"0"
"Asia","Bachelor's","Y","N",2396,"South",161624.56,"Year","N",18,"0"
"Asia","Master's","Y","N",2511,"South",65972.06,"Year","Y",50,"0"
"Asia","Master's","Y","N",3053,"South",32303.06,"Year","Y",94,"0"
"Asia","Master's","Y","N",2929,"Midwest",61089.41,"Year","Y",17,"0"
"Asia","Master's","Y","N",1112,"Northeast",13222.12,"Week","Y",62,"0"
"Asia","Master's","Y","N",2081,"Midwest",161375.16,"Year","Y",46,"0"
"Asia","Bachelor's","Y","N",4381,"Midwest",75891.48,"Year","Y",50,"0"
"Asia","Master's","Y","N",911,"Midwest",175037.36,"Year","Y",47,"0"
"Europe","Master's","Y","N",1995,"Northeast",106631.92,"Year","Y",12,"0"
"Asia","Bachelor's","Y","N",4393,"South",73835.34,"Year","Y",31,"0"
"Asia","Bachelor's","Y","N",4119,"Northeast",71671.94,"Year","Y",28,"0"
"Asia","Master's","Y","N",1529,"South",121190.07,"Year","Y",15,"0"
"Asia","Bachelor's","Y","N",111,"South",112953.85,"Year","Y",190,"0"
"Europe","Doctorate","Y","N",4328,"West",23234.02,"Year","Y",51,"0"
"South America","Master's","Y","N",250,"Northeast",65863.55,"Year","Y",111,"0"
"Asia","Bachelor's","Y","N",2927,"Midwest",181691.66,"Year","Y",20,"0"
"Asia","Master's","Y","N",3214,"Northeast",45880.68,"Year","Y",186,"0"
"North America","Master's","Y","N",1185,"South",93221.99,"Year","N",19,"0"
"North America","Master's","Y","N",2563,"Northeast",86528.21,"Year","Y",169,"0"
"Europe","Master's","N","N",1600,"Midwest",414.5323,"Hour","Y",56,"0"
"South America","High School","Y","N",1533,"South",47358.68,"Year","Y",11,"0"
"Asia","Bachelor's","Y","N",1696,"South",83286.06,"Year","Y",37,"0"
"Asia","Master's","Y","N",2591,"Northeast",15137.56,"Year","Y",27,"0"
"Asia","Bachelor's","Y","N",23874,"South",59365.2,"Year","Y",10,"0"
"Europe","Doctorate","Y","N",2374,"Northeast",131377.15,"Year","Y",14,"0"
"Asia","Bachelor's","Y","N",915,"South",86226.14,"Year","Y",12,"0"
"Europe","Bachelor's","Y","Y",223,"West",12080.16,"Year","Y",19,"0"
"Asia","Bachelor's","Y","N",1395,"South",287.2183,"Hour","Y",47,"0"
"Asia","Bachelor's","Y","N",1547,"Northeast",452.2859,"Hour","Y",26,"0"
"Asia","Master's","Y","Y",3530,"Northeast",73918.6,"Year","Y",56,"0"
"North America","Bachelor's","Y","N",1305,"West",203915.7,"Year","Y",30,"0"
"Asia","Bachelor's","Y","N",2641,"South",35670.63,"Year","Y",17,"0"
"Asia","Master's","Y","N",2631,"Midwest",71558.84,"Year","Y",38,"0"
"Asia","Master's","Y","N",3158,"Northeast",69251.26,"Year","N",34,"0"
"Asia","Master's","Y","N",2582,"Midwest",97048.91,"Year","Y",23,"0"
"Asia","Master's","Y","N",3441,"Midwest",79646.42,"Year","Y",24,"0"
"North America","Master's","Y","N",1220,"South",114875.2,"Year","Y",96,"0"
"Europe","Bachelor's","Y","N",434,"Northeast",29396.31,"Year","Y",18,"0"
"North America","Master's","Y","N",2405,"Midwest",147314.23,"Year","Y",14,"0"
"Africa","Doctorate","Y","N",1898,"Northeast",24254.96,"Year","Y",14,"0"
"Asia","Master's","Y","N",175,"Northeast",95244.98,"Year","Y",113,"0"
"Europe","Master's","N","N",2353,"West",179791.79,"Year","N",75,"0"
"Europe","Doctorate","N","N",4704,"Northeast",19351.87,"Year","Y",12,"0"
"Asia","Bachelor's","Y","N",5025,"West",141649.16,"Year","Y",24,"0"
"Asia","Doctorate","Y","N",6908,"South",34056.76,"Year","Y",25,"0"
"Asia","Bachelor's","Y","N",349050,"Northeast",85810.99,"Year","Y",39,"0"
"Asia","Master's","Y","N",2351,"South",150434.63,"Year","Y",29,"0"
"Oceania","High School","Y","N",963,"West",63988.64,"Year","Y",15,"0"
"Asia","Master's","Y","N",2281,"Midwest",82369.06,"Year","Y",31,"0"
"North America","Doctorate","Y","N",1779,"Northeast",40177.92,"Year","Y",12,"0"
"Asia","Bachelor's","Y","N",524,"Northeast",63882.02,"Year","N",19,"0"
"Asia","Bachelor's","Y","N",5572,"West",21556.66,"Year","Y",15,"0"
"Asia","Bachelor's","Y","N",2450,"Northeast",54532.54,"Year","Y",112,"0"
"Asia","Doctorate","Y","N",4412,"Northeast",94810.41,"Year","Y",16,"0"
"North America","Bachelor's","Y","N",4465,"Northeast",59940.9,"Year","Y",17,"0"
"Asia","Master's","Y","N",2490,"West",276894.08,"Year","N",54,"0"
"Europe","Bachelor's","N","Y",2963,"West",96506.89,"Year","Y",25,"0"
"Asia","Bachelor's","Y","Y",554,"South",129731.91,"Year","Y",49,"0"
"South America","Bachelor's","Y","N",453,"West",126813.75,"Year","Y",35,"0"
"Asia","Master's","Y","N",1454,"Northeast",3673.63,"Year","Y",14,"0"
"Asia","Bachelor's","Y","N",3817,"Northeast",79439.67,"Year","Y",24,"0"
"Europe","Bachelor's","Y","N",4235,"West",613.71,"Year","Y",11,"0"
"Asia","Master's","Y","N",1536,"Midwest",56493.1,"Year","Y",15,"0"
"Asia","Doctorate","Y","N",4329,"Northeast",29814.74,"Year","Y",30,"0"
"Asia","Master's","Y","N",3431,"West",125406.43,"Year","Y",24,"0"
"Europe","Bachelor's","N","N",10284,"South",117379.51,"Year","Y",23,"0"
"Asia","Bachelor's","Y","N",2462,"Northeast",37000.62,"Year","Y",124,"0"
"North America","High School","Y","N",3103,"Northeast",79697.43,"Year","Y",18,"0"
"Asia","Bachelor's","Y","N",2658,"Northeast",92640.49,"Year","Y",16,"0"
"North America","Bachelor's","Y","N",3089,"Midwest",87864.62,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",1979,"Northeast",106885.13,"Month","Y",31,"0"
"Asia","Master's","Y","N",2426,"West",140821.26,"Year","Y",47,"0"
"Asia","Bachelor's","Y","N",2626,"South",112825.91,"Year","Y",13,"0"
"Europe","Doctorate","N","Y",141,"West",59156.3,"Year","Y",33,"0"
"Asia","Master's","Y","N",1144,"South",90816.73,"Year","Y",45,"0"
"Europe","Master's","N","Y",310,"West",94707.92,"Year","Y",39,"0"
"Europe","Bachelor's","N","N",2560,"West",18369.69,"Year","Y",16,"0"
"Asia","Bachelor's","Y","N",3925,"South",137673.07,"Year","Y",76,"0"
"Asia","Bachelor's","Y","N",1132,"Midwest",42854.79,"Year","Y",24,"0"
"Europe","Bachelor's","Y","N",1391,"West",62700.13,"Year","Y",34,"0"
"South America","High School","Y","N",10768,"Northeast",105.96,"Hour","Y",78,"0"
"Asia","Doctorate","Y","Y",741,"South",82643.23,"Year","Y",27,"0"
"Asia","Bachelor's","Y","N",4649,"Northeast",34490.17,"Year","Y",56,"0"
"Oceania","Master's","Y","N",264,"South",203769.29,"Year","Y",41,"0"
"North America","Master's","Y","N",1512,"South",52336.12,"Year","N",20,"0"
"Asia","Master's","Y","N",2039,"South",23778.25,"Year","Y",20,"0"
"Europe","Bachelor's","Y","N",2597,"Northeast",45509.25,"Year","Y",77,"0"
"Asia","Master's","Y","N",3869,"South",106678.32,"Year","Y",9,"0"
"Asia","Master's","Y","N",553,"Northeast",7948.62,"Year","Y",16,"0"
"Asia","Master's","Y","N",877,"South",21794.64,"Year","Y",15,"0"
